lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
48HOUR DISCOVERY,Contract Research (Pre-Clinical),Ab - Edmonton,PEPTIDE-BASED RADIOPHARMACEUTICALS FOR THE TREATMENT OF CANCER,,,,,https://48hourdiscovery.com/,BioPharmGuy
CHEMFORCE LABORATORIES,Contract Research (Pre-Clinical),Ab - Edmonton,"SPECIALTY CHEMICALS, CONTRACT RESEARCH, MFG",,,,,http://www.chemforcelabs.com/,BioPharmGuy
FUTURE FIELDS,Contract Research (Pre-Clinical),Ab - Edmonton,CONTRACT PROTEIN RESEARCH,,,,,https://futurefields.io/,BioPharmGuy
INNOVOTECH,Contract Research (Pre-Clinical),Ab - Edmonton,BIOFILM CONTRACT RESEARCH & DEVELOPMENT,,,,,https://innovotech.ca/,BioPharmGuy
PBG BIOPHARMA,Contract Research (Pre-Clinical),Ab - Leduc,CONTRACT RESEARCH & DEVELOPMENT,,,,,https://www.pbgbiopharma.com/,BioPharmGuy
IXPRESSGENES,Contract Research (Pre-Clinical),Al - Huntsville,"PROTEIN SERVICES, CONTRACT RD",,,,,https://www.ixpressgenes.com/,BioPharmGuy
TRIRX PHARMACEUTICAL SERVICES,Contract Research (Pre-Clinical),Al - Huntsville,"R&D, MANUFACTURING, PACKAGING AND WAREHOUSING OF NON-STERILE LIQUIDS AND SEMI-SOLIDS",,,,,https://www.trirx.com/,BioPharmGuy
STATECS,Contract Research (Pre-Clinical),Armenia - Yerevan,"MEDICAL WRITING, CLINICAL DATA, STATISTICAL PROGRAMMING, REGULATORY",,,,,https://www.statecs.com/,BioPharmGuy
CRUX BIOLABS,Contract Research (Pre-Clinical),Australia - Bayswater,"SPECIALIST IMMUNOLOGY CONTRACT RESEARCH. PBMC PROCESSING, FLOW CYTOMETRY, ELISPOT & CUSTOM IMMUNOASSAYS TO ISO 17025.",,,,,https://cruxbiolabs.com/,BioPharmGuy
EPICHEM,Contract Research (Pre-Clinical),Australia - Bentley,SYNTHETIC AND MEDICINAL CHEMISTRY SERVICES. EXTENSIVE REFERENCE STANDARDS CATALOGUE. GLOBAL DELIVERY.,,,,,https://www.epichem.com/,BioPharmGuy
IDT AUSTRALIA,Contract Research (Pre-Clinical),Australia - Boronia,CONTRACT MANUFACTURING,,,,,https://idtaus.com.au/,BioPharmGuy
ACYTE BIOTECH,Contract Research (Pre-Clinical),Australia - Brisbane,DEVELOPMENT OF ANTIBODIES FROM PHAGE DISPLAY DISCOVERY,,,,,http://www.acyte.com/,BioPharmGuy
360BIOLABS,Contract Research (Pre-Clinical),Australia - Melbourne,CONTRACT SERVICE PROVIDER BRINGING TOGETHER VIROLOGY AND IMMUNOLOGY IN A QUALITY-ASSURED ENVIRONMENT,,,,,https://www.360biolabs.com/,BioPharmGuy
PTNG SCIENTIFIC,Contract Research (Pre-Clinical),Australia - Melbourne,PROTEIN OPTIMIZATION,,,,,https://ptngscientific.com/,BioPharmGuy
PCI PHARMA SERVICES,Contract Research (Pre-Clinical),Australia - Moorabbin Airport,"CONTRACT MANUFACTURING, SERVICES",,,,,https://pci.com/,BioPharmGuy
FENIX INNOVATION GROUP,Contract Research (Pre-Clinical),Australia - Mount Waverley,"FULL SPECTRUM RESEARCH, MANUFACTURING, CONSULTING",,,,,https://www.fenixinnovationgroup.com/,BioPharmGuy
FORMULYTICA,Contract Research (Pre-Clinical),Australia - Mulgrave,"FORMULATION, ANALYTICAL",,,,,https://formulytica.com/,BioPharmGuy
SCANTOX NEURO,Contract Research (Pre-Clinical),Austria - Grambach,NEURO CRO,,,,,https://scantox.com/,BioPharmGuy
POLYMUN SCIENTIFIC,Contract Research (Pre-Clinical),Austria - Klosterneuburg,CONTRACT DEVELOPMENT & MANUFACTURING,,,,,http://www.polymun.com/,BioPharmGuy
VALIDOGEN,Contract Research (Pre-Clinical),Austria - Raaba-Grambach,"CONTRACT PROTEIN EXPRESSION, STRAIN DEVELOPMENT, CELL BANKING",,,,,https://www.validogen.com/,BioPharmGuy
ATTOQUANT DIAGNOSTICS,Contract Research (Pre-Clinical),Austria - Vienna,LC-MS/MS BASED PEPTIDE QUANTIFICATION SERVICES,,,,,https://attoquant.com/,BioPharmGuy
NBS-C BIOSCIENCE & CONSULTING,Contract Research (Pre-Clinical),Austria - Vienna,"MOLECULAR INTERACTION ANALYSIS, CONSULTING",,,,,http://www.nbs-c.at/,BioPharmGuy
THE ANTIBODY LAB,Contract Research (Pre-Clinical),Austria - Vienna,CONTRACT ANTIBODY WORK,,,,,https://www.theantibodylab.com/,BioPharmGuy
VELA LABORATORIES,Contract Research (Pre-Clinical),Austria - Vienna,GMP CONTRACT SERVICES,,,,,https://www.vela-labs.at/,BioPharmGuy
VIROSURE,Contract Research (Pre-Clinical),Austria - Vienna,"BIOSAFETY TESTING CRO, CELL & VIRUS BANKING SERVICES",,,,,https://virusure.com/,BioPharmGuy
OMNIAB,Contract Research (Pre-Clinical),Az - Oro Valley,ANTIBODY REPERTOIRES AND HIGH-THROUGHPUT SCREENING TECHNOLOGIES,,,,,https://www.omniab.com/,BioPharmGuy
ABCELLERA,Contract Research (Pre-Clinical),Bc - Vancouver,THERAPEUTIC ANTIBODY DISCOVERY,,,,,https://www.abcellera.com/,BioPharmGuy
ACUITAS THERAPEUTICS,Contract Research (Pre-Clinical),Bc - Vancouver,ACUITAS PROVIDES DELIVERY SOLUTIONS FOR MOLECULAR THERAPEUTICS USING LIPID NANOPARTICLES (LNP),,,,,https://acuitastx.com/,BioPharmGuy
VIEWSML TECHNOLOGIES,Contract Research (Pre-Clinical),Bc - Vancouver,IMMUNOHISTOCHEMISTRY,,,,,https://www.viewsml.com/,BioPharmGuy
STARFISH MEDICAL,Contract Research (Pre-Clinical),Bc - Victoria,CONTRACT MEDICAL DEVICES,,,,,https://starfishmedical.com/,BioPharmGuy
PROTHYA BIOSOLUTIONS,Contract Research (Pre-Clinical),Belgium - Brussels,SERVICES AND PLASMA-DERIVED MEDICINAL PRODUCTS,,,,,https://prothya.com/,BioPharmGuy
