source_name,source_record_id,source_url,retrieved_at,company_name,yc_slug,website_url,source_location,description,one_liner,team_size,industry,subindustry,industries,tags,batch,company_status,stage,regions,is_hiring,nonprofit,top_company,yc_object_id
Y Combinator,729,https://www.ycombinator.com/companies/ginkgo-bioworks,2026-07-29T16:08:39Z,Ginkgo Bioworks,ginkgo-bioworks,http://ginkgobioworks.com,"Boston, MA, USA",Ginkgo Bioworks is the organism company. We design custom organisms for customers across multiple markets. We build our foundries to scale the process of organism engineering using software and hardware automation. Organism engineers at Ginkgo learn from nature to develop new organisms that replace technology with biology.,Our mission is to make biology easier to engineer.,641,Healthcare,Healthcare -> Industrial Bio,"[""Healthcare"", ""Industrial Bio""]","[""Synthetic Biology"", ""Diagnostics"", ""Automation""]",Summer 2014,Public,Growth,"[""United States of America"", ""America / Canada"", ""Remote"", ""Partly Remote""]",True,False,True,729
Y Combinator,22111,https://www.ycombinator.com/companies/pardes-bio,2026-07-29T16:08:39Z,Pardes Biosciences,pardes-bio,http://www.pardesbio.com,"San Francisco, CA, USA; Remote",We make oral drugs to treat and prevent viral infections - like COVID-19.  ,We break viruses,2,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]","[""Biotech"", ""Therapeutics""]",Summer 2020,Public,Early,"[""United States of America"", ""America / Canada"", ""Remote"", ""Fully Remote""]",False,False,True,22111
Y Combinator,902,https://www.ycombinator.com/companies/verge-genomics,2026-07-29T16:08:39Z,Verge Genomics,verge-genomics,http://vergegenomics.com,"San Francisco, CA, USA","Verge uses artificial intelligence and human data to develop better drugs faster. Verge has an end-to-end technology-driven drug discovery and development platform, featuring one of the field’s largest and most comprehensive proprietary patient genomics datasets from human tissue. Verge uses machine learning to mine this data and develops these insights into new drugs using it’s human-centric biology and chemistry platforms. ",We use human data and AI to develop better drugs faster.,50,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]",[],Summer 2015,Active,Growth,"[""United States of America"", ""America / Canada"", ""Remote"", ""Partly Remote""]",True,False,False,902
Y Combinator,857,https://www.ycombinator.com/companies/shasqi,2026-07-29T16:08:39Z,Shasqi,shasqi,,"San Francisco, CA, USA; Remote","Shasqi is leading the development of therapeutics leveraging click chemistry to get active cancer treatments to tumors with its proprietary CAPAC™ platform. Our technology is based on localizing a click chemistry reagent in the tumor area, which then activates a second agent, a systemically infused protodrug. When the two 'click', a powerful localized therapy is activated at the tumor, while keeping its systemic exposure levels below toxic thresholds.",Targeting Cancer with Click Chemistry,28,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]","[""Biotech"", ""Therapeutics""]",Winter 2015,Active,Growth,"[""United States of America"", ""America / Canada"", ""Remote"", ""Fully Remote""]",False,False,False,857
Y Combinator,813,https://www.ycombinator.com/companies/industrial-microbes,2026-07-29T16:08:39Z,Industrial Microbes,industrial-microbes,http://imicrobes.com,"San Francisco, CA, USA; Alameda, CA, USA","At iMicrobes, we believe there are opportunities for biology to solve our biggest problems.  Our mission is to work with the world’s largest companies to use new raw materials and recycle waste for chemical production, polymers, agriculture, and space exploration. ",We design and build microbes to make chemicals greener at lower cost.,12,Healthcare,Healthcare -> Industrial Bio,"[""Healthcare"", ""Industrial Bio""]","[""Carbon Capture and Removal"", ""Bioplastic"", ""Climate""]",Winter 2015,Active,Early,"[""United States of America"", ""America / Canada"", ""Remote"", ""Partly Remote""]",False,False,False,813
Y Combinator,756,https://www.ycombinator.com/companies/numerion-labs,2026-07-29T16:08:39Z,Numerion Labs,numerion-labs,https://www.numerionlabs.ai,"San Francisco, CA, USA","Numerion Labs is an AI-native company accelerating the discovery of life-saving medicines through the development and use of cutting-edge machine learning algorithms. The company unites computational chemistry, structural biology, and medicinal chemistry to pioneer the next generation of AI-driven drug discovery platforms.",Artificial intelligence for drug discovery.,67,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]","[""AI-powered Drug Discovery"", ""Deep Learning"", ""Biotech"", ""Drug discovery"", ""Oncology""]",Winter 2015,Active,Growth,"[""United States of America"", ""America / Canada"", ""Remote"", ""Partly Remote""]",False,False,False,756
Y Combinator,33016,https://www.ycombinator.com/companies/gamgee,2026-07-29T16:08:39Z,Gamgee,gamgee,https://gamgee.io/,"San Francisco, CA, USA; Remote","Gamgee is building an end to end platform for personalised mRNA cancer vaccines for dogs. We sequence a dog’s tumour and healthy DNA, identify mutations unique to its cancer, and design a vaccine that teaches the immune system what to attack. We manage the entire process- from vet intake and tissue collection through genomic analysis, vaccine production, treatment and response monitoring

​Gamgee began with Rosie, founder Paul Conyngham’s dog. After surgery, chemotherapy and immunotherapy failed, Rosie was given months to live. Paul used AI and genomic analysis to identify targets in her tumour, then worked with scientists at UNSW to produce what is believed to be the first fully computationally designed mRNA cancer vaccine delivered to a dog. Following treatment, several tumours shrank significantly and her quality of life improved

​We are now turning that one off effort into a repeatable clinical system. Gamgee is running clinical trials in Australia, working with vets, oncologists and specialised laboratories, and accepting cases globally. Our goal is to make personalised cancer treatment accessible to every dog that needs it- and use each case to improve the treatment for the next",Scalable Personalised Cancer Treatment,2,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]","[""Biotech"", ""Genomics"", ""Oncology"", ""AI""]",Summer 2026,Active,Early,"[""United States of America"", ""America / Canada"", ""Remote"", ""Fully Remote""]",False,False,False,33016
Y Combinator,31532,https://www.ycombinator.com/companies/atlas-discovery,2026-07-29T16:08:39Z,Atlas Discovery,atlas-discovery,https://atlasdiscovery.bio,"San Francisco, CA, USA",,Predicting human response to drugs in clinical trials,3,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]","[""AI-powered Drug Discovery"", ""Drug discovery"", ""Biotechnology""]",Summer 2026,Active,Early,"[""United States of America"", ""America / Canada""]",False,False,False,31532
Y Combinator,31484,https://www.ycombinator.com/companies/abinitio-bio,2026-07-29T16:08:39Z,AbInitio Bio,abinitio-bio,https://www.abinitio-bio.com,"Boston, MA, USA","Abinitio Bio builds foundation models for biomanufacturing, validated against wet lab data. Our first model, Echo, predicts manufacturing outcomes more accurately than standard models, and any pharma or CDMO can adapt it to their own workflow instantly. By making process decisions that take 6-18 months today in hours, we help teams avoid the cost of delay on a single program. ",The Intelligence layer for Drug Manufacturing,2,Healthcare,Healthcare -> Drug Discovery and Delivery,"[""Healthcare"", ""Drug Discovery and Delivery""]",[],Spring 2026,Active,Early,"[""United States of America"", ""America / Canada""]",False,False,False,31484
Y Combinator,31441,https://www.ycombinator.com/companies/infera,2026-07-29T16:08:39Z,Infera,infera,https://www.infera.bio,"San Francisco, CA, USA","Describe an experiment in plain English, and Infera turns it into a validated, instrument-ready run across the equipment your lab already uses. Infera handles the protocol logic, vendor-specific scripts, data, inventory, and institutional knowledge in one system. An AI-native compiler for the lab: one system from intent to execution.",Control lab instruments with natural language.,2,Healthcare,Healthcare -> Industrial Bio,"[""Healthcare"", ""Industrial Bio""]","[""SaaS"", ""B2B"", ""Biotech"", ""Automation"", ""AI""]",Spring 2026,Active,Early,"[""United States of America"", ""America / Canada""]",False,False,False,31441
