company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
Ginkgo Bioworks,,729,,Boston,MA,,USA,ycombinator,http://ginkgobioworks.com,,,,Ginkgo Bioworks is the organism company. We design custom organisms for customers across multiple markets. We build our foundries to scale the process of organism engineering using software and hardware automation. Organism engineers at Ginkgo learn from nature to develop new organisms that replace technology with biology.,Public,Growth,Our mission is to make biology easier to engineer.
Pardes Biosciences,,22111,,San Francisco,CA,,USA,ycombinator,http://www.pardesbio.com,,,,We make oral drugs to treat and prevent viral infections - like COVID-19.,Public,Early,We break viruses
Verge Genomics,,902,,San Francisco,CA,,USA,ycombinator,http://vergegenomics.com,,,,"Verge uses artificial intelligence and human data to develop better drugs faster. Verge has an end-to-end technology-driven drug discovery and development platform, featuring one of the field’s largest and most comprehensive proprietary patient genomics datasets from human tissue. Verge uses machine learning to mine this data and develops these insights into new drugs using it’s human-centric biology and chemistry platforms.",Active,Growth,We use human data and AI to develop better drugs faster.
Shasqi,,857,,San Francisco,CA,,USA,ycombinator,https://www.ycombinator.com/companies/shasqi,,,,"Shasqi is leading the development of therapeutics leveraging click chemistry to get active cancer treatments to tumors with its proprietary CAPAC™ platform. Our technology is based on localizing a click chemistry reagent in the tumor area, which then activates a second agent, a systemically infused protodrug. When the two 'click', a powerful localized therapy is activated at the tumor, while keeping its systemic exposure levels below toxic thresholds.",Active,Growth,Targeting Cancer with Click Chemistry
Industrial Microbes,,813,,San Francisco,CA,,USA,ycombinator,http://imicrobes.com,,,,"At iMicrobes, we believe there are opportunities for biology to solve our biggest problems.  Our mission is to work with the world’s largest companies to use new raw materials and recycle waste for chemical production, polymers, agriculture, and space exploration.",Active,Early,We design and build microbes to make chemicals greener at lower cost.
Numerion Labs,,756,,San Francisco,CA,,USA,ycombinator,https://www.numerionlabs.ai,,,,"Numerion Labs is an AI-native company accelerating the discovery of life-saving medicines through the development and use of cutting-edge machine learning algorithms. The company unites computational chemistry, structural biology, and medicinal chemistry to pioneer the next generation of AI-driven drug discovery platforms.",Active,Growth,Artificial intelligence for drug discovery.
Gamgee,,33016,,San Francisco,CA,,USA,ycombinator,https://gamgee.io/,,,,"​Gamgee began with Rosie, founder Paul Conyngham’s dog. After surgery, chemotherapy and immunotherapy failed, Rosie was given months to live. Paul used AI and genomic analysis to identify targets in her tumour, then worked with scientists at UNSW to produce what is believed to be the first fully computationally designed mRNA cancer vaccine delivered to a dog. Following treatment, several tumours shrank significantly and her quality of life improved

Gamgee is building an end to end platform for personalised mRNA cancer vaccines for dogs. We sequence a dog’s tumour and healthy DNA, identify mutations unique to its cancer, and design a vaccine that teaches the immune system what to attack. We manage the entire process- from vet intake and tissue collection through genomic analysis, vaccine production, treatment and response monitoring

​We are now turning that one off effort into a repeatable clinical system. Gamgee is running clinical trials in Australia, working with vets, oncologists and specialised laboratories, and accepting cases globally. Our goal is to make personalised cancer treatment accessible to every dog that needs it- and use each case to improve the treatment for the next",Active,Early,Scalable Personalised Cancer Treatment
TareBio,,32587,,San Francisco,CA,,USA,ycombinator,https://tarebio.com/,,,,"Our platform develops personalized or population-level vaccines for any disease in weeks by changing only one input: the immune imprint. Instead of trying to predict which antigens might work, we read out immune cells already fighting the disease in the body and reverse-engineer antigens that activate them. We've already run our platform end-to-end and created a vaccine that cured cancer in mice.",Active,Early,Vaccines for any cancer or infection in weeks.
Rasyn,,32261,,San Francisco,CA,,USA,ycombinator,https://www.rasyn.ai/,,,,,Active,Early,Towards a General Intelligence for Chemistry
Atlas Discovery,,31532,,San Francisco,CA,,USA,ycombinator,https://atlasdiscovery.bio,,,,,Active,Early,Predicting human response to drugs in clinical trials
AbInitio Bio,,31484,,Boston,MA,,USA,ycombinator,https://www.abinitio-bio.com,,,,"Abinitio Bio builds foundation models for biomanufacturing, validated against wet lab data. Our first model, Echo, predicts manufacturing outcomes more accurately than standard models, and any pharma or CDMO can adapt it to their own workflow instantly. By making process decisions that take 6-18 months today in hours, we help teams avoid the cost of delay on a single program.",Active,Early,The Intelligence layer for Drug Manufacturing
Infera,,31441,,San Francisco,CA,,USA,ycombinator,https://www.infera.bio,,,,"Describe an experiment in plain English, and Infera turns it into a validated, instrument-ready run across the equipment your lab already uses. Infera handles the protocol logic, vendor-specific scripts, data, inventory, and institutional knowledge in one system. An AI-native compiler for the lab: one system from intent to execution.",Active,Early,Control lab instruments with natural language.
Ditto Biosciences,,31225,,San Francisco,CA,,USA,ycombinator,https://www.dittobio.com/,,,,"Ditto Bio discovers drugs for autoimmune diseases by harnessing parasite biology. Viruses, ticks, and worms have experimented over millions of years to create proteins that control the human immune system. We use AI to identify these proteins and engineer them into next-generation autoimmune therapies.

Our team is three PhD scientists from UCSF, UCSD, and UC Berkeley who have worked together for 3+ years in biotech. We have deep expertise in parasite biology, computational biology, and software for AI-based protein structure prediction",Active,Early,Evolutionary intelligence for autoimmune disease
CellType,,31113,,New York City,NY,,USA,ycombinator,https://www.celltype.com,,,,"CellType is building an agentic drug company. AI agents that run the full drug discovery pipeline on top of biological foundation models that simulate human biology. Our core technology, developed with Google DeepMind, has already discovered and validated a new cancer treatment signal. We’re working with Top 10 pharma.",Active,Early,The agentic drug company. We simulate human biology.
Strand AI,,31108,,San Francisco,CA,,USA,ycombinator,https://strandai.com,,,,"Strand AI develops foundation models to generate missing bio-data about patients. With this imputed data, pharmaceutical companies can select better patients for their drug trials and shave months from their drug launch timelines. We’ve already trained a multimodal foundation model that integrates spatial biology modalities, beating SOTA at a fraction of the cost.",Active,Early,Multimodal foundation models to predict uncollected patient biology
Origin,,31064,,San Francisco,CA,,USA,ycombinator,https://origin.bio/,,,,Creating the largest patient-derived cancer single-cell dataset for licensing to pharmaceutical and AI companies. These datasets are unique as they screen the effects of various drugs and genetic medicines under the control of our DNA switches.,Active,Early,AI and Data for Cancer Therapeutics
